domain,company,vertical,industry_raw,region,source,list_year
ssen-transmission.co.uk,Transmission,services_other,Sales & Marketing,uk,ft1000_wayback:20230425220624,2020
rocksteadymusicschool.com,Rocksteady Music School,edtech,Education,uk,ft1000_wayback:20230425220624,2020
botron.com,Botron Software Solutions,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
wed2b.com,WED2B,ecommerce_retail,Retail,uk,ft1000_wayback:20230425220624,2020
xcede.com,Xcede Recruitment,services_other,Support Services,uk,ft1000_wayback:20230425220624,2020
leadconsult.eu,LEAD Consult,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
cloudi-fi.com,Cloudi-Fi,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
fastuppartners.com,Fast-Up Partners,services_other,Management Consulting,eu,ft1000_wayback:20230425220624,2020
raumweltenheiss.de,raumweltenheiss,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020
forever-entertainment.com,Forever Entertainment,software_saas,Games industry,eu,ft1000_wayback:20230425220624,2020
exacaster.com,Exacaster,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
reech.com,Reech,services_other,Media,eu,ft1000_wayback:20230425220624,2020
neosystemscorp.com,Neo Systems,services_other,Telecoms,eu,ft1000_wayback:20230425220624,2020
iplangroup-eng.com,Iplan Gestión Integral,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020
newadventures.nl,New adVentures,services_other,Media,eu,ft1000_wayback:20230425220624,2020
bigchange.com,BigChange,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020
adaysmarch.com,A Day's March Shirts & Staples,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020
intito.com,Intito,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
schneiderfs.com,Schneider Financial Solutions,fintech_insurance,Financial Services,uk,ft1000_wayback:20230425220624,2020
arcesi-ea.com,ARCESI Occitanie,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
holla.fi,Holla Online,services_other,Advertising,eu,ft1000_wayback:20230425220624,2020
famoco.com,Famoco,fintech_insurance,Fintech,eu,ft1000_wayback:20230425220624,2020
quickcomexpress.com,Quickcom,services_other,Telecoms,eu,ft1000_wayback:20230425220624,2020
t1-solution.com,T1 Solution,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
dein-stellplatz.de,Dein Stellplatz,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
bopen.eu,B-Open Solutions,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020
