domain,company,vertical,industry_raw,region,source,list_year
ecoco2.com,Eco CO2,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
cdprojektred.com,CD Projekt,software_saas,Games industry,eu,ft1000_wayback:20220301043147,2022
vpace.de,VPACE Bikes,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
tooltester.com,Tooltester,services_other,Sales & Marketing,eu,ft1000_wayback:20220301043147,2022
tikamoon.co,Tikamoon,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
fundingoptions.com,Funding Options,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
sonarcloud.io,"Sonar, SonarQube, SonarCloud, SonarLint",software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
scherer-group.com,Scherer,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
mycroclean.com,Mycroclean Italia,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
piscor.com,Piscor,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
rtbhouse.com,RTB House,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
vmway.it,VmWay,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
shop-msgbeauty.de,MSG Beauty,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
leogra.de,Leogra Trading,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
mailtrack.email,Mailtrack,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
bumper.co,Bumper,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
online-trainer-lizenz.de,OTL - Online Trainer,health,Health,eu,ft1000_wayback:20220301043147,2022
macingo.com,Macingo Technologies,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
mycs.com,MYCS,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
startromagna.it,Start,services_other,Telecoms,eu,ft1000_wayback:20220301043147,2022
pure-gaming.fr,PURE GAMING,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
centroames.it,Ames Centro Polidiagnostico Strumentale,health,Health,eu,ft1000_wayback:20220301043147,2022
zycle.eu,Versa Design Zycle,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
ayesconsulting.com,Ayes,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
opyn.eu,Opyn,fintech_insurance,Financial Services,eu,ft1000_wayback:20220301043147,2022
varcapital.com,VAR Capital,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022
storyterrace.com,StoryTerrace,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
blubit.si,Blubit,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
topchaleur.com,TOP CHALEUR,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
beliani.com,Beliani,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
hatstoreworld.com,Hatstore,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
capitalontap.com,CapitalOnTap,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
netguru.com,Netguru,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
mariofazios.com,Fazio,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
convertgroup.com,Convert Group,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
revolutionrace.com,Revolution Race,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
gong-galaxy.com,GONG Galaxy,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
emporio-elettrico.it,Emporio Elettrico,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
featurespace.com,Featurespace,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
silviaclaveria.com,Claveria,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
timberagents.de,Timberagents,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
simwert.de,SIMWERT,services_other,Telecoms,eu,ft1000_wayback:20220301043147,2022
flex.legal,Flex Legal,services_other,Law,uk,ft1000_wayback:20220301043147,2022
documaster.com,Documaster,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
noctuai.com,Noctuai,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
moonpig.com,Moonpig Group,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20220301043147,2022
wealthclub.co.uk,Wealth Club,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022
beckingredients.com,Beck Ingredients,health,Health,eu,ft1000_wayback:20220301043147,2022
mentorsandpartners.com,Mentors & Partners Group,services_other,Management Consulting,eu,ft1000_wayback:20220301043147,2022
sbsupply.eu,SB Supply,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
keylight.com,keylight,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
technacy.it,Technacy,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
payment-assist.co.uk,Payment Assist,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
84codes.com,84codes.com,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
ignimission.com,Ignimission,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
bambridgeaccountants.com,Bambridge Accountants,fintech_insurance,Financial Services,uk,ft1000_wayback:20220301043147,2022
postextracking.com.pk,Postex,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
yocabe.com,Yocabe’,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
